# Hyperlattice Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 215 | 8.150 us | `cargo-fuzz` | `matrix_ops` | `seed[3776]` |
| 216 | 8.149 us | `cargo-fuzz` | `matrix_ops` | `seed[2895]` |
| 217 | 8.149 us | `cargo-fuzz` | `matrix_ops` | `seed[3002]` |
| 218 | 8.149 us | `cargo-fuzz` | `matrix_ops` | `seed[3116]` |
| 219 | 8.149 us | `cargo-fuzz` | `matrix_ops` | `seed[3714]` |
| 220 | 8.140 us | `cargo-fuzz` | `matrix_ops` | `seed[2440]` |
| 221 | 8.140 us | `cargo-fuzz` | `matrix_ops` | `seed[3669]` |
| 222 | 8.140 us | `cargo-fuzz` | `matrix_ops` | `seed[3802]` |
| 223 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[813]` |
| 224 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[2298]` |
| 225 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[2415]` |
| 226 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[2894]` |
| 227 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[3202]` |
| 228 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[3620]` |
| 229 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[3699]` |
| 230 | 8.139 us | `cargo-fuzz` | `matrix_ops` | `seed[3847]` |
| 231 | 8.129 us | `cargo-fuzz` | `matrix_ops` | `seed[2455]` |
| 232 | 8.129 us | `cargo-fuzz` | `matrix_ops` | `seed[3097]` |
| 233 | 8.129 us | `cargo-fuzz` | `matrix_ops` | `seed[3196]` |
| 234 | 8.129 us | `cargo-fuzz` | `matrix_ops` | `seed[3251]` |
| 235 | 8.129 us | `cargo-fuzz` | `matrix_ops` | `seed[3678]` |
| 236 | 8.129 us | `cargo-fuzz` | `matrix_ops` | `seed[3707]` |
